,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
11296,2016-09-21,N8U,51.0,225.2,4.560520833333333,21.0,9.0,4.415686274509803
11304,2016-09-21,R6E,17.0,71.85,4.3289285714285715,21.0,9.0,4.226470588235294
11319,2016-09-22,29A,13.0,88.18,6.911999999999999,22.0,9.0,6.783076923076924
11328,2016-09-22,FEW,16.0,133.39,8.533666666666667,22.0,9.0,8.336875
11343,2016-09-22,N8U,55.0,209.33,3.854489795918368,22.0,9.0,3.806
11351,2016-09-22,R6E,37.0,263.78,7.887901234567901,22.0,9.0,7.129189189189188
11366,2016-09-23,29A,10.0,35.09,3.718888888888889,23.0,9.0,3.5090000000000003
11375,2016-09-23,FEW,19.0,160.04,8.42315789473684,23.0,9.0,8.42315789473684
11390,2016-09-23,N8U,86.0,347.42,4.120822784810126,23.0,9.0,4.039767441860465
11398,2016-09-23,R6E,26.0,199.13,8.547727272727274,23.0,9.0,7.658846153846154
11413,2016-09-24,29A,6.0,16.06,3.35125,24.0,9.0,2.6766666666666663
11421,2016-09-24,FEW,17.0,166.84,9.814117647058824,24.0,9.0,9.814117647058824
11433,2016-09-24,N8U,49.0,204.71,4.278555555555556,24.0,9.0,4.177755102040816
11441,2016-09-24,R6E,35.0,212.35999999999999,6.618273809523808,24.0,9.0,6.067428571428571
11454,2016-09-25,29A,13.0,66.41,5.555454545454546,25.0,9.0,5.108461538461539
11460,2016-09-25,FEW,6.0,49.14,8.19,25.0,9.0,8.19
11473,2016-09-25,N8U,23.0,77.29,3.5359523809523816,25.0,9.0,3.3604347826086958
11480,2016-09-25,R6E,17.0,101.47,6.0684375,25.0,9.0,5.968823529411765
11494,2016-09-26,29A,19.0,83.95,5.082777777777777,26.0,9.0,4.4184210526315795
11503,2016-09-26,FEW,7.0,66.35,9.478571428571428,26.0,9.0,9.478571428571428
11517,2016-09-26,N8U,55.0,175.32999999999998,3.458888888888889,26.0,9.0,3.1878181818181814
11525,2016-09-26,R6E,15.0,141.82,10.652307692307694,26.0,9.0,9.454666666666666
11540,2016-09-27,29A,15.0,69.63,5.775833333333333,27.0,9.0,4.6419999999999995
11549,2016-09-27,FEW,5.0,36.13,6.91875,27.0,9.0,7.226000000000001
11563,2016-09-27,N8U,46.0,185.92,4.165487804878048,27.0,9.0,4.041739130434783
11571,2016-09-27,R6E,20.0,126.5,6.939803921568627,27.0,9.0,6.325
11586,2016-09-28,29A,7.0,34.269999999999996,5.779,28.0,9.0,4.895714285714285
11595,2016-09-28,FEW,13.0,95.69,7.360769230769231,28.0,9.0,7.360769230769231
11610,2016-09-28,N8U,39.0,143.07,3.908359375,28.0,9.0,3.668461538461538
11618,2016-09-28,R6E,22.0,111.75999999999999,5.838148148148149,28.0,9.0,5.079999999999999
11633,2016-09-29,29A,13.0,68.19,5.914,29.0,9.0,5.245384615384615
11641,2016-09-29,FEW,13.0,102.07,8.057083333333331,29.0,9.0,7.851538461538461
11655,2016-09-29,N8U,31.0,146.01,4.835178571428571,29.0,9.0,4.71
